,latitude,longitude,time,magnitude,catalog_id
272,47.676,7.467,1980-07-25 17:13:32.000000000,2.6,real
273,47.676,7.472,1980-08-01 17:04:48.160000000,2.6,real
274,47.437,9.438,1980-08-03 05:11:41.200000000,2.5,real
275,47.427,9.418,1980-08-03 05:28:52.000000000,2.8000000000000003,real
276,46.198,7.165,1980-08-10 10:39:27.800000000,2.4000000000000004,real
277,47.673,7.483,1980-08-13 15:36:44.780000000,2.2,real
278,47.676,7.467,1980-08-13 15:47:29.000000000,2.2,real
279,47.675,7.481,1980-08-16 13:01:11.760000000,2.4000000000000004,real
280,47.677,7.48,1980-08-27 11:44:11.170000000,2.4000000000000004,real
281,47.682,7.478,1980-09-05 01:45:59.460000000,2.5,real
282,47.676,7.467,1980-09-05 08:49:22.000000000,2.3000000000000003,real
283,46.405,7.505,1980-09-11 03:27:35.200000000,2.2,real
284,47.682,7.473,1980-09-19 01:54:18.640000000,3.4000000000000004,real
285,47.671,7.485,1980-09-19 17:54:49.830000000,2.9000000000000004,real
286,46.735,9.518,1980-09-25 15:19:14.600000000,2.4000000000000004,real
287,47.68,7.494,1980-10-04 08:57:56.790000000,2.5,real
288,46.94,8.245,1980-10-10 16:22:25.900000000,2.3000000000000003,real
289,46.317,7.4,1980-10-14 16:43:29.600000000,2.4000000000000004,real
290,47.292,9.637,1980-11-08 20:25:57.200000000,2.6,real
291,46.133,6.878,1980-12-02 23:41:56.400000000,2.2,real
292,46.555,10.47,1980-12-05 02:49:48.900000000,3.4000000000000004,real
293,47.692,8.955,1980-12-14 06:47:58.200000000,2.7,real
294,46.883,6.67,1980-12-24 18:25:03.000000000,2.2,real
295,46.868,6.7,1980-12-24 20:14:17.600000000,2.7,real
296,47.52,7.915,1980-12-30 13:10:31.400000000,2.3000000000000003,real
297,47.288,7.272,1981-01-19 07:54:28.900000000,2.5,real
298,47.723,9.508,1981-02-12 10:29:41.300000000,2.6,real
299,46.015,7.022,1981-03-18 23:13:09.900000000,2.2,real
300,46.32,7.303,1981-03-19 18:27:54.300000000,2.5,real
301,47.679,7.489,1981-03-23 21:29:04.450000000,2.5,real
302,46.525,8.95,1981-04-01 01:49:58.700000000,2.3000000000000003,real
303,46.32,7.415,1981-04-09 19:03:42.700000000,2.2,real
304,46.988,6.777,1981-05-08 05:00:52.100000000,2.2,real
305,46.657,9.807,1981-06-23 14:06:32.400000000,2.6,real
306,46.432,7.037,1981-06-25 19:39:49.200000000,2.2,real
307,47.587,7.38,1981-07-21 21:20:26.500000000,2.8000000000000003,real
308,47.7,7.54,1981-07-21 21:50:18.000000000,3.2,real
309,46.27,8.738,1981-08-11 17:17:26.600000000,2.2,real
310,46.322,7.272,1981-08-17 21:21:10.600000000,2.5,real
311,46.487,8.908,1981-09-09 01:32:17.400000000,2.2,real
312,47.795,9.193,1981-09-19 08:39:09.000000000,2.6,real
313,46.313,7.42,1981-09-26 13:54:44.600000000,3.1,real
314,46.497,9.847,1981-10-23 17:47:12.300000000,2.3000000000000003,real
315,46.758,9.58,1981-10-28 03:57:24.000000000,2.3000000000000003,real
316,46.223,8.662,1981-11-01 21:32:22.800000000,2.7,real
317,46.158,6.955,1981-11-11 18:10:55.300000000,2.2,real
318,46.053,7.89,1981-11-12 17:08:26.200000000,2.3000000000000003,real
319,46.947,9.522,1981-11-30 20:15:02.200000000,2.4000000000000004,real
320,46.637,8.852,1981-12-04 21:36:08.900000000,2.2,real
321,46.852,8.417,1981-12-14 07:56:03.900000000,2.2,real
322,46.607,9.852,1981-12-17 11:05:12.900000000,2.3000000000000003,real
323,46.665,9.597,1981-12-19 10:40:42.000000000,2.3000000000000003,real
324,46.203,6.992,1981-12-23 06:50:29.600000000,2.9000000000000004,real
325,47.688,7.785,1982-01-08 12:13:24.200000000,2.8000000000000003,real
326,46.892,9.517,1982-02-04 00:45:36.500000000,2.3000000000000003,real
327,46.652,9.8,1982-02-26 03:32:11.500000000,2.4000000000000004,real
328,46.657,9.788,1982-02-27 18:23:44.600000000,2.2,real
329,47.487,7.572,1982-03-25 18:45:19.100000000,2.5,real
330,46.142,6.937,1982-05-23 18:03:40.500000000,2.3000000000000003,real
331,47.222,9.512,1982-05-26 21:54:40.300000000,2.5,real
332,46.16,7.775,1982-06-08 13:04:35.000000000,2.3000000000000003,real
333,47.145,6.947,1982-06-16 20:59:07.900000000,2.3000000000000003,real
334,45.749,7.047,1982-07-02 02:08:24.000000000,3.5,real
335,46.24,7.617,1982-07-03 04:49:31.400000000,3.0,real
336,46.22,7.13,1982-07-03 07:11:51.500000000,2.2,real
337,46.23,7.608,1982-07-03 14:48:49.900000000,2.5,real
338,46.203,7.588,1982-07-03 22:16:21.800000000,2.2,real
339,46.312,7.388,1982-07-05 20:34:31.200000000,2.4000000000000004,real
340,46.373,6.225,1982-07-06 18:37:07.100000000,2.2,real
341,46.855,8.698,1982-07-31 19:47:28.500000000,2.5,real
342,47.23,9.43,1982-08-07 01:41:55.400000000,2.5,real
343,46.268,7.608,1982-08-07 11:06:10.200000000,2.2,real
344,46.915,8.842,1982-08-09 07:37:40.100000000,2.3000000000000003,real
345,47.453,7.865,1982-09-03 19:12:14.300000000,2.4000000000000004,real
